rule,body,head,head_coverage,std_confidence,pca_confidence,positive_examples,body_size,pca_body_size,functional_variable
?b http://FrenchRoyalty.org/spouse ?a => ?a http://FrenchRoyalty.org/spouse ?b,?b http://FrenchRoyalty.org/spouse ?a,?a http://FrenchRoyalty.org/spouse ?b,1.0,1.0,1.0,1220,1220,1220,?a
?b http://FrenchRoyalty.org/child ?a => ?a http://FrenchRoyalty.org/father ?b,?b http://FrenchRoyalty.org/child ?a,?a http://FrenchRoyalty.org/father ?b,0.458966565,0.159198735,0.546112116,302,1897,553,?a
?a http://FrenchRoyalty.org/parent ?b => ?a http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/father ?b,1.0,0.521808089,0.53978671,658,1261,1219,?a
?a http://FrenchRoyalty.org/predecessor ?b => ?a http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/predecessor ?b,?a http://FrenchRoyalty.org/father ?b,0.258358663,0.360934183,0.487106017,170,471,349,?a
?b http://FrenchRoyalty.org/successor ?a => ?a http://FrenchRoyalty.org/father ?b,?b http://FrenchRoyalty.org/successor ?a,?a http://FrenchRoyalty.org/father ?b,0.258358663,0.360934183,0.487106017,170,471,349,?a
?a http://FrenchRoyalty.org/father ?b => ?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/parent ?b,0.521808089,1.0,1.0,658,658,658,?b
?a http://FrenchRoyalty.org/mother ?b => ?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/mother ?b,?a http://FrenchRoyalty.org/parent ?b,0.423473434,1.0,1.0,534,534,534,?b
?b http://FrenchRoyalty.org/successor ?a => ?a http://FrenchRoyalty.org/parent ?b,?b http://FrenchRoyalty.org/successor ?a,?a http://FrenchRoyalty.org/parent ?b,0.154639175,0.414012739,0.570175439,195,471,342,?b
?b http://FrenchRoyalty.org/child ?a => ?a http://FrenchRoyalty.org/parent ?b,?b http://FrenchRoyalty.org/child ?a,?a http://FrenchRoyalty.org/parent ?b,0.442505948,0.294148656,0.308117062,558,1897,1811,?b
?a http://FrenchRoyalty.org/predecessor ?b => ?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/predecessor ?b,?a http://FrenchRoyalty.org/parent ?b,0.154639175,0.414012739,0.570175439,195,471,342,?b
?b http://FrenchRoyalty.org/father ?a => ?a http://FrenchRoyalty.org/child ?b,?b http://FrenchRoyalty.org/father ?a,?a http://FrenchRoyalty.org/child ?b,0.159198735,0.458966565,0.766497462,302,658,394,?b
?b http://FrenchRoyalty.org/mother ?a => ?a http://FrenchRoyalty.org/child ?b,?b http://FrenchRoyalty.org/mother ?a,?a http://FrenchRoyalty.org/child ?b,0.130732736,0.464419476,0.67027027,248,534,370,?b
?a http://FrenchRoyalty.org/successor ?b => ?a http://FrenchRoyalty.org/child ?b,?a http://FrenchRoyalty.org/successor ?b,?a http://FrenchRoyalty.org/child ?b,0.108065366,0.435244161,0.569444444,205,471,360,?b
?b http://FrenchRoyalty.org/predecessor ?a => ?a http://FrenchRoyalty.org/child ?b,?b http://FrenchRoyalty.org/predecessor ?a,?a http://FrenchRoyalty.org/child ?b,0.108065366,0.435244161,0.569444444,205,471,360,?b
?b http://FrenchRoyalty.org/parent ?a => ?a http://FrenchRoyalty.org/child ?b,?b http://FrenchRoyalty.org/parent ?a,?a http://FrenchRoyalty.org/child ?b,0.294148656,0.442505948,0.701886792,558,1261,795,?b
?b http://FrenchRoyalty.org/mother ?f ?f http://FrenchRoyalty.org/spouse ?a => ?a http://FrenchRoyalty.org/successor ?b,?b http://FrenchRoyalty.org/mother ?f  ?f http://FrenchRoyalty.org/spouse ?a,?a http://FrenchRoyalty.org/successor ?b,0.322717622,0.256756757,0.470588235,152,592,323,?a
?b http://FrenchRoyalty.org/mother ?f ?a http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/successor ?b,?b http://FrenchRoyalty.org/mother ?f  ?a http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/successor ?b,0.322717622,0.256756757,0.470588235,152,592,323,?a
?b http://FrenchRoyalty.org/parent ?f ?f http://FrenchRoyalty.org/spouse ?a => ?a http://FrenchRoyalty.org/successor ?b,?b http://FrenchRoyalty.org/parent ?f  ?f http://FrenchRoyalty.org/spouse ?a,?a http://FrenchRoyalty.org/successor ?b,0.375796178,0.13179449,0.444723618,177,1343,398,?a
?b http://FrenchRoyalty.org/parent ?f ?a http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/successor ?b,?b http://FrenchRoyalty.org/parent ?f  ?a http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/successor ?b,0.375796178,0.13179449,0.444723618,177,1343,398,?a
?a http://FrenchRoyalty.org/predecessor ?f ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/mother ?b,?a http://FrenchRoyalty.org/predecessor ?f  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/mother ?b,0.284644195,0.306451613,0.463414634,152,496,328,?a
?a http://FrenchRoyalty.org/parent ?f ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/mother ?b,?a http://FrenchRoyalty.org/parent ?f  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/mother ?b,0.990636704,0.393894267,0.406298003,529,1343,1302,?a
?f http://FrenchRoyalty.org/child ?a ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/mother ?b,?f http://FrenchRoyalty.org/child ?a  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/mother ?b,0.518726592,0.114604882,0.396280401,277,2417,699,?a
?b http://FrenchRoyalty.org/spouse ?f ?f http://FrenchRoyalty.org/successor ?a => ?a http://FrenchRoyalty.org/mother ?b,?b http://FrenchRoyalty.org/spouse ?f  ?f http://FrenchRoyalty.org/successor ?a,?a http://FrenchRoyalty.org/mother ?b,0.284644195,0.306451613,0.463414634,152,496,328,?a
?a http://FrenchRoyalty.org/father ?f ?f http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/mother ?b,?a http://FrenchRoyalty.org/father ?f  ?f http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/mother ?b,0.986891386,0.740168539,0.768221574,527,712,686,?a
?a http://FrenchRoyalty.org/predecessor ?f ?f http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/mother ?b,?a http://FrenchRoyalty.org/predecessor ?f  ?f http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/mother ?b,0.284644195,0.306451613,0.463414634,152,496,328,?a
?e http://FrenchRoyalty.org/spouse ?b ?e http://FrenchRoyalty.org/successor ?a => ?a http://FrenchRoyalty.org/mother ?b,?e http://FrenchRoyalty.org/spouse ?b  ?e http://FrenchRoyalty.org/successor ?a,?a http://FrenchRoyalty.org/mother ?b,0.284644195,0.306451613,0.463414634,152,496,328,?a
?a http://FrenchRoyalty.org/father ?f ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/mother ?b,?a http://FrenchRoyalty.org/father ?f  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/mother ?b,0.986891386,0.740168539,0.768221574,527,712,686,?a
?a http://FrenchRoyalty.org/parent ?f ?f http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/mother ?b,?a http://FrenchRoyalty.org/parent ?f  ?f http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/mother ?b,0.990636704,0.393894267,0.406298003,529,1343,1302,?a
?e http://FrenchRoyalty.org/child ?a ?e http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/mother ?b,?e http://FrenchRoyalty.org/child ?a  ?e http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/mother ?b,0.518726592,0.114604882,0.396280401,277,2417,699,?a
?a http://FrenchRoyalty.org/mother ?f ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/predecessor ?b,?a http://FrenchRoyalty.org/mother ?f  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/predecessor ?b,0.322717622,0.256756757,0.470588235,152,592,323,?b
?a http://FrenchRoyalty.org/parent ?f ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/predecessor ?b,?a http://FrenchRoyalty.org/parent ?f  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/predecessor ?b,0.375796178,0.13179449,0.444723618,177,1343,398,?b
?a http://FrenchRoyalty.org/mother ?f ?f http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/predecessor ?b,?a http://FrenchRoyalty.org/mother ?f  ?f http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/predecessor ?b,0.322717622,0.256756757,0.470588235,152,592,323,?b
?f http://FrenchRoyalty.org/parent ?a ?b http://FrenchRoyalty.org/successor ?f => ?a http://FrenchRoyalty.org/spouse ?b,?f http://FrenchRoyalty.org/parent ?a  ?b http://FrenchRoyalty.org/successor ?f,?a http://FrenchRoyalty.org/spouse ?b,0.145901639,0.25648415,0.268882175,178,694,662,?a
?a http://FrenchRoyalty.org/parent ?f ?f http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/predecessor ?b,?a http://FrenchRoyalty.org/parent ?f  ?f http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/predecessor ?b,0.375796178,0.13179449,0.444723618,177,1343,398,?b
?b http://FrenchRoyalty.org/child ?f ?f http://FrenchRoyalty.org/mother ?a => ?a http://FrenchRoyalty.org/spouse ?b,?b http://FrenchRoyalty.org/child ?f  ?f http://FrenchRoyalty.org/mother ?a,?a http://FrenchRoyalty.org/spouse ?b,0.168032787,0.535248042,0.536649215,205,383,382,?a
?f http://FrenchRoyalty.org/mother ?a ?b http://FrenchRoyalty.org/successor ?f => ?a http://FrenchRoyalty.org/spouse ?b,?f http://FrenchRoyalty.org/mother ?a  ?b http://FrenchRoyalty.org/successor ?f,?a http://FrenchRoyalty.org/spouse ?b,0.122131148,0.473015873,0.474522293,149,315,314,?a
?b http://FrenchRoyalty.org/child ?f ?f http://FrenchRoyalty.org/father ?a => ?a http://FrenchRoyalty.org/spouse ?b,?b http://FrenchRoyalty.org/child ?f  ?f http://FrenchRoyalty.org/father ?a,?a http://FrenchRoyalty.org/spouse ?b,0.146721311,0.453164557,0.474801061,179,395,377,?a
?b http://FrenchRoyalty.org/child ?f ?a http://FrenchRoyalty.org/successor ?f => ?a http://FrenchRoyalty.org/spouse ?b,?b http://FrenchRoyalty.org/child ?f  ?a http://FrenchRoyalty.org/successor ?f,?a http://FrenchRoyalty.org/spouse ?b,0.086065574,0.211693548,0.272020725,105,496,386,?a
?a http://FrenchRoyalty.org/child ?f ?b http://FrenchRoyalty.org/child ?f => ?a http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/child ?f  ?b http://FrenchRoyalty.org/child ?f,?a http://FrenchRoyalty.org/spouse ?b,0.195081967,0.356821589,0.367851623,238,667,647,?a
?a http://FrenchRoyalty.org/child ?f ?b http://FrenchRoyalty.org/successor ?f => ?a http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/child ?f  ?b http://FrenchRoyalty.org/successor ?f,?a http://FrenchRoyalty.org/spouse ?b,0.086065574,0.211693548,0.21875,105,496,480,?a
?b http://FrenchRoyalty.org/child ?f ?f http://FrenchRoyalty.org/predecessor ?a => ?a http://FrenchRoyalty.org/spouse ?b,?b http://FrenchRoyalty.org/child ?f  ?f http://FrenchRoyalty.org/predecessor ?a,?a http://FrenchRoyalty.org/spouse ?b,0.086065574,0.211693548,0.272020725,105,496,386,?a
?a http://FrenchRoyalty.org/child ?f ?f http://FrenchRoyalty.org/predecessor ?b => ?a http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/child ?f  ?f http://FrenchRoyalty.org/predecessor ?b,?a http://FrenchRoyalty.org/spouse ?b,0.086065574,0.211693548,0.21875,105,496,480,?a
?a http://FrenchRoyalty.org/child ?f ?f http://FrenchRoyalty.org/mother ?b => ?a http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/child ?f  ?f http://FrenchRoyalty.org/mother ?b,?a http://FrenchRoyalty.org/spouse ?b,0.168032787,0.535248042,0.536649215,205,383,382,?a
?a http://FrenchRoyalty.org/child ?f ?f http://FrenchRoyalty.org/father ?b => ?a http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/child ?f  ?f http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/spouse ?b,0.146721311,0.453164557,0.474801061,179,395,377,?a
?a http://FrenchRoyalty.org/child ?f ?f http://FrenchRoyalty.org/parent ?b => ?a http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/child ?f  ?f http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/spouse ?b,0.332786885,0.501854141,0.513924051,406,809,790,?a
?e http://FrenchRoyalty.org/parent ?a ?e http://FrenchRoyalty.org/parent ?b => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/parent ?a  ?e http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/spouse ?b,0.750819672,0.456402591,0.503296703,916,2007,1820,?a
?b http://FrenchRoyalty.org/child ?f ?f http://FrenchRoyalty.org/parent ?a => ?a http://FrenchRoyalty.org/spouse ?b,?b http://FrenchRoyalty.org/child ?f  ?f http://FrenchRoyalty.org/parent ?a,?a http://FrenchRoyalty.org/spouse ?b,0.332786885,0.501854141,0.513924051,406,809,790,?a
?f http://FrenchRoyalty.org/mother ?b ?a http://FrenchRoyalty.org/successor ?f => ?a http://FrenchRoyalty.org/spouse ?b,?f http://FrenchRoyalty.org/mother ?b  ?a http://FrenchRoyalty.org/successor ?f,?a http://FrenchRoyalty.org/spouse ?b,0.122131148,0.473015873,0.642241379,149,315,232,?a
?e http://FrenchRoyalty.org/parent ?b ?e http://FrenchRoyalty.org/predecessor ?a => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/parent ?b  ?e http://FrenchRoyalty.org/predecessor ?a,?a http://FrenchRoyalty.org/spouse ?b,0.145901639,0.25648415,0.363265306,178,694,490,?a
?e http://FrenchRoyalty.org/parent ?b ?a http://FrenchRoyalty.org/successor ?e => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/parent ?b  ?a http://FrenchRoyalty.org/successor ?e,?a http://FrenchRoyalty.org/spouse ?b,0.145901639,0.25648415,0.363265306,178,694,490,?a
?e http://FrenchRoyalty.org/father ?a ?e http://FrenchRoyalty.org/parent ?b => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/father ?a  ?e http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/spouse ?b,0.358196721,0.437875752,0.494343891,437,998,884,?a
?e http://FrenchRoyalty.org/mother ?a ?e http://FrenchRoyalty.org/parent ?b => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/mother ?a  ?e http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/spouse ?b,0.368032787,0.503928171,0.510807736,449,891,879,?a
?e http://FrenchRoyalty.org/father ?a ?e http://FrenchRoyalty.org/mother ?b => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/father ?a  ?e http://FrenchRoyalty.org/mother ?b,?a http://FrenchRoyalty.org/spouse ?b,0.350819672,1.0,1.0,428,428,428,?a
?e http://FrenchRoyalty.org/mother ?b ?e http://FrenchRoyalty.org/predecessor ?a => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/mother ?b  ?e http://FrenchRoyalty.org/predecessor ?a,?a http://FrenchRoyalty.org/spouse ?b,0.122131148,0.473015873,0.642241379,149,315,232,?a
?e http://FrenchRoyalty.org/father ?b ?e http://FrenchRoyalty.org/mother ?a => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/father ?b  ?e http://FrenchRoyalty.org/mother ?a,?a http://FrenchRoyalty.org/spouse ?b,0.350819672,1.0,1.0,428,428,428,?a
?e http://FrenchRoyalty.org/parent ?a ?e http://FrenchRoyalty.org/predecessor ?b => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/parent ?a  ?e http://FrenchRoyalty.org/predecessor ?b,?a http://FrenchRoyalty.org/spouse ?b,0.145901639,0.25648415,0.268882175,178,694,662,?a
?b http://FrenchRoyalty.org/child ?a ?a http://FrenchRoyalty.org/predecessor ?b => ?a http://FrenchRoyalty.org/father ?b,?b http://FrenchRoyalty.org/child ?a  ?a http://FrenchRoyalty.org/predecessor ?b,?a http://FrenchRoyalty.org/father ?b,0.199088146,0.63902439,0.929078014,131,205,141,?a
?a http://FrenchRoyalty.org/parent ?b ?a http://FrenchRoyalty.org/predecessor ?b => ?a http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/parent ?b  ?a http://FrenchRoyalty.org/predecessor ?b,?a http://FrenchRoyalty.org/father ?b,0.258358663,0.871794872,0.894736842,170,195,190,?a
?a http://FrenchRoyalty.org/parent ?b ?b http://FrenchRoyalty.org/successor ?a => ?a http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/parent ?b  ?b http://FrenchRoyalty.org/successor ?a,?a http://FrenchRoyalty.org/father ?b,0.258358663,0.871794872,0.894736842,170,195,190,?a
?b http://FrenchRoyalty.org/child ?a ?a http://FrenchRoyalty.org/parent ?b => ?a http://FrenchRoyalty.org/father ?b,?b http://FrenchRoyalty.org/child ?a  ?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/father ?b,0.458966565,0.541218638,0.547101449,302,558,552,?a
?e http://FrenchRoyalty.org/father ?b ?e http://FrenchRoyalty.org/parent ?a => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/father ?b  ?e http://FrenchRoyalty.org/parent ?a,?a http://FrenchRoyalty.org/spouse ?b,0.358196721,0.437875752,0.494343891,437,998,884,?a
?e http://FrenchRoyalty.org/mother ?a ?e http://FrenchRoyalty.org/predecessor ?b => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/mother ?a  ?e http://FrenchRoyalty.org/predecessor ?b,?a http://FrenchRoyalty.org/spouse ?b,0.122131148,0.473015873,0.474522293,149,315,314,?a
?b http://FrenchRoyalty.org/child ?a ?b http://FrenchRoyalty.org/successor ?a => ?a http://FrenchRoyalty.org/father ?b,?b http://FrenchRoyalty.org/child ?a  ?b http://FrenchRoyalty.org/successor ?a,?a http://FrenchRoyalty.org/father ?b,0.199088146,0.63902439,0.929078014,131,205,141,?a
?a http://FrenchRoyalty.org/mother ?f ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/mother ?f  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/father ?b,0.800911854,0.890202703,0.894736842,527,592,589,?a
?e http://FrenchRoyalty.org/mother ?b ?e http://FrenchRoyalty.org/parent ?a => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/mother ?b  ?e http://FrenchRoyalty.org/parent ?a,?a http://FrenchRoyalty.org/spouse ?b,0.368032787,0.503928171,0.510807736,449,891,879,?a
?f http://FrenchRoyalty.org/child ?a ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/father ?b,?f http://FrenchRoyalty.org/child ?a  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/father ?b,0.376899696,0.102606537,0.349788434,248,2417,709,?a
?a http://FrenchRoyalty.org/mother ?f ?b http://FrenchRoyalty.org/predecessor ?f => ?a http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/mother ?f  ?b http://FrenchRoyalty.org/predecessor ?f,?a http://FrenchRoyalty.org/father ?b,0.018237082,0.196721311,0.196721311,12,61,61,?a
?a http://FrenchRoyalty.org/parent ?f ?f http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/parent ?f  ?f http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/father ?b,0.808510638,0.396128071,0.4,532,1343,1330,?a
?a http://FrenchRoyalty.org/mother ?f ?f http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/mother ?f  ?f http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/father ?b,0.800911854,0.890202703,0.894736842,527,592,589,?a
?a http://FrenchRoyalty.org/parent ?f ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/parent ?f  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/father ?b,0.808510638,0.396128071,0.4,532,1343,1330,?a
?a http://FrenchRoyalty.org/mother ?f ?f http://FrenchRoyalty.org/successor ?b => ?a http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/mother ?f  ?f http://FrenchRoyalty.org/successor ?b,?a http://FrenchRoyalty.org/father ?b,0.018237082,0.196721311,0.196721311,12,61,61,?a
?b http://FrenchRoyalty.org/child ?a ?b http://FrenchRoyalty.org/successor ?a => ?a http://FrenchRoyalty.org/parent ?b,?b http://FrenchRoyalty.org/child ?a  ?b http://FrenchRoyalty.org/successor ?a,?a http://FrenchRoyalty.org/parent ?b,0.113402062,0.697560976,0.715,143,205,200,?b
?e http://FrenchRoyalty.org/child ?a ?e http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/father ?b,?e http://FrenchRoyalty.org/child ?a  ?e http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/father ?b,0.376899696,0.102606537,0.349788434,248,2417,709,?a
?b http://FrenchRoyalty.org/child ?a ?a http://FrenchRoyalty.org/predecessor ?b => ?a http://FrenchRoyalty.org/parent ?b,?b http://FrenchRoyalty.org/child ?a  ?a http://FrenchRoyalty.org/predecessor ?b,?a http://FrenchRoyalty.org/parent ?b,0.113402062,0.697560976,0.715,143,205,200,?b
?b http://FrenchRoyalty.org/spouse ?f ?f http://FrenchRoyalty.org/successor ?a => ?a http://FrenchRoyalty.org/parent ?b,?b http://FrenchRoyalty.org/spouse ?f  ?f http://FrenchRoyalty.org/successor ?a,?a http://FrenchRoyalty.org/parent ?b,0.143536875,0.364919355,0.48787062,181,496,371,?b
?a http://FrenchRoyalty.org/predecessor ?f ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/predecessor ?f  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/parent ?b,0.143536875,0.364919355,0.48787062,181,496,371,?b
?a http://FrenchRoyalty.org/father ?f ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/father ?f  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/parent ?b,0.426645519,0.755617978,0.899665552,538,712,598,?b
?a http://FrenchRoyalty.org/mother ?f ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/mother ?f  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/parent ?b,0.437747819,0.932432432,1.0,552,592,552,?b
?a http://FrenchRoyalty.org/father ?f ?f http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/father ?f  ?f http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/parent ?b,0.426645519,0.755617978,0.899665552,538,712,598,?b
?b http://FrenchRoyalty.org/child ?f ?a http://FrenchRoyalty.org/predecessor ?f => ?a http://FrenchRoyalty.org/parent ?b,?b http://FrenchRoyalty.org/child ?f  ?a http://FrenchRoyalty.org/predecessor ?f,?a http://FrenchRoyalty.org/parent ?b,0.034099921,0.101176471,0.101176471,43,425,425,?b
?a http://FrenchRoyalty.org/predecessor ?f ?f http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/predecessor ?f  ?f http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/parent ?b,0.143536875,0.364919355,0.48787062,181,496,371,?b
?a http://FrenchRoyalty.org/mother ?f ?f http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/mother ?f  ?f http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/parent ?b,0.437747819,0.932432432,1.0,552,592,552,?b
